 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
   188.50       1.25E-16  2.79E-15    84.96  3.82E+14  2.37E-13     5544887
   189.50       1.25E-16  2.80E-15    84.89  3.81E+14  2.37E-13     5548478
   190.50       1.27E-16  2.80E-15    84.79  3.80E+14  2.37E-13     5555511
   191.50       1.77E-16  2.81E-15    84.85  3.79E+14  2.38E-13     5552200
   192.50       1.15E-16  2.81E-15    84.68  3.79E+14  2.38E-13     5562581
   193.50       9.98E-17  2.82E-15    84.72  3.78E+14  2.39E-13     5559976
   194.50       2.07E-16  2.82E-15    84.63  3.77E+14  2.39E-13     5566938
   195.50       1.20E-16  2.83E-15    84.50  3.76E+14  2.39E-13     5573867
   196.50       1.46E-16  2.83E-15    84.48  3.75E+14  2.39E-13     5575583
   197.50       1.07E-16  2.84E-15    84.54  3.74E+14  2.40E-13     5572628
   198.50       1.07E-16  2.85E-15    84.32  3.73E+14  2.40E-13     5587418
   199.50       1.16E-16  2.85E-15    84.26  3.73E+14  2.40E-13     5589089
   200.50       1.37E-16  2.86E-15    84.16  3.71E+14  2.41E-13     5597407
   201.50       1.04E-16  2.86E-15    84.01  3.71E+14  2.41E-13     5607546
   202.50       1.38E-16  2.87E-15    83.81  3.70E+14  2.40E-13     5620282
   203.50       1.26E-16  2.87E-15    83.57  3.69E+14  2.40E-13     5636943
   204.50       1.92E-16  2.88E-15    83.40  3.68E+14  2.40E-13     5647501
   205.50       1.24E-16  2.88E-15    83.22  3.68E+14  2.40E-13     5661041
   206.50       1.14E-16  2.89E-15    82.91  3.66E+14  2.40E-13     5681702
   207.50       1.19E-16  2.90E-15    82.84  3.66E+14  2.40E-13     5686125
   208.50       1.24E-16  2.90E-15    82.64  3.64E+14  2.40E-13     5700786
   209.50       1.55E-16  2.91E-15    82.35  3.64E+14  2.40E-13     5720010
   210.50       1.15E-16  2.92E-15    82.25  3.63E+14  2.40E-13     5727026
   211.50       1.25E-16  2.92E-15    82.04  3.62E+14  2.40E-13     5742258
   212.50       9.59E-17  2.93E-15    81.94  3.61E+14  2.40E-13     5749360
   213.50       1.22E-16  2.93E-15    81.83  3.60E+14  2.40E-13     5755376
   214.50       1.41E-16  2.94E-15    81.53  3.59E+14  2.40E-13     5777223
   215.50       1.08E-16  2.95E-15    81.38  3.59E+14  2.40E-13     5789030
   216.50       1.22E-16  2.95E-15    81.17  3.58E+14  2.40E-13     5803461
   217.50       1.12E-16  2.96E-15    81.05  3.57E+14  2.40E-13     5811823
   218.50       1.04E-16  2.96E-15    80.78  3.56E+14  2.39E-13     5832273
   219.50       1.16E-16  2.97E-15    80.60  3.55E+14  2.39E-13     5843741
   220.50       1.08E-16  2.97E-15    80.60  3.55E+14  2.40E-13     5844741
   221.50       1.08E-16  2.98E-15    80.27  3.54E+14  2.39E-13     5868946
   222.50       1.10E-16  2.99E-15    80.11  3.53E+14  2.39E-13     5880544
   223.50       1.31E-16  2.99E-15    79.97  3.52E+14  2.39E-13     5889738
   224.50       1.12E-16  3.00E-15    79.72  3.51E+14  2.39E-13     5909622
   225.50       9.97E-17  3.01E-15    79.58  3.50E+14  2.39E-13     5920285
   226.50       1.25E-16  3.01E-15    79.33  3.50E+14  2.39E-13     5937397
   227.50       1.43E-16  3.01E-15    79.32  3.49E+14  2.39E-13     5937492
   228.50       1.08E-16  3.02E-15    79.13  3.48E+14  2.39E-13     5953378
   229.50       1.01E-16  3.03E-15    78.93  3.47E+14  2.39E-13     5969030
   230.50       1.07E-16  3.03E-15    78.71  3.47E+14  2.39E-13     5984548
   231.50       1.11E-16  3.04E-15    78.69  3.46E+14  2.39E-13     5986110
   232.50       1.06E-16  3.04E-15    78.49  3.45E+14  2.39E-13     6002608
   233.50       1.03E-16  3.05E-15    78.30  3.44E+14  2.39E-13     6015473
   234.50       1.78E-16  3.05E-15    78.28  3.44E+14  2.39E-13     6018496
   235.50       1.13E-16  3.06E-15    78.15  3.43E+14  2.39E-13     6027145
   236.50       1.10E-16  3.07E-15    77.94  3.42E+14  2.39E-13     6043116
   237.50       1.11E-16  3.08E-15    77.60  3.41E+14  2.39E-13     6071513
   238.50       8.95E-17  3.08E-15    77.52  3.41E+14  2.39E-13     6076301
   239.50       1.18E-16  3.08E-15    77.46  3.40E+14  2.39E-13     6081620
   240.50       1.93E-16  3.09E-15    77.35  3.40E+14  2.39E-13     6089736
   241.50       1.21E-16  3.10E-15    77.17  3.38E+14  2.39E-13     6105243
   242.50       1.02E-16  3.11E-15    77.03  3.38E+14  2.39E-13     6115030
   243.50       1.13E-16  3.11E-15    76.85  3.37E+14  2.39E-13     6129985
   244.50       9.27E-17  3.12E-15    76.65  3.37E+14  2.39E-13     6145566
   245.50       1.10E-16  3.12E-15    76.44  3.36E+14  2.38E-13     6161417
   246.50       9.38E-17  3.12E-15    76.48  3.35E+14  2.39E-13     6158889
   247.50       1.21E-16  3.13E-15    76.31  3.34E+14  2.39E-13     6173728
   248.50       1.13E-16  3.13E-15    76.17  3.34E+14  2.39E-13     6184443
   249.50       1.14E-16  3.03E-15    79.19  3.61E+14  2.40E-13     5990557
   250.50            NaN       NaN      NaN       NaN       NaN           0
   251.50            NaN       NaN      NaN       NaN       NaN           0
   252.50            NaN       NaN      NaN       NaN       NaN           0
   253.50            NaN       NaN      NaN       NaN       NaN           0
   254.50            NaN       NaN      NaN       NaN       NaN           0
   255.50            NaN       NaN      NaN       NaN       NaN           0
   256.50            NaN       NaN      NaN       NaN       NaN           0
   257.50            NaN       NaN      NaN       NaN       NaN           0
   258.50            NaN       NaN      NaN       NaN       NaN           0
   259.50            NaN       NaN      NaN       NaN       NaN           0
   260.50            NaN       NaN      NaN       NaN       NaN           0
   261.50            NaN       NaN      NaN       NaN       NaN           0
   262.50            NaN       NaN      NaN       NaN       NaN           0
   263.50            NaN       NaN      NaN       NaN       NaN           0
   264.50            NaN       NaN      NaN       NaN       NaN           0
   265.50            NaN       NaN      NaN       NaN       NaN           0
   266.50            NaN       NaN      NaN       NaN       NaN           0
   267.50            NaN       NaN      NaN       NaN       NaN           0
   268.50            NaN       NaN      NaN       NaN       NaN           0
   269.50            NaN       NaN      NaN       NaN       NaN           0
   270.50            NaN       NaN      NaN       NaN       NaN           0
   271.50            NaN       NaN      NaN       NaN       NaN           0
   272.50            NaN       NaN      NaN       NaN       NaN           0
   273.50            NaN       NaN      NaN       NaN       NaN           0
   274.50            NaN       NaN      NaN       NaN       NaN           0
